city_name,game_year,games_held,lat,lon
Tokyo,"1964, 2020",2,35.6762,139.6503
Rio,2016,1,-22.9068,-43.1729
London,"1908, 1948, 2012",3,51.5072,-0.1276
Bejing,2008,1,39.9042,116.4074
Athens,"1896, 2004",2,37.9838,23.7275
Sydney,2000,1,-33.8688,151.2093
Atlanta,1996,1,33.749,-84.388
Barcelona,1992,1,41.3874,2.1686
Seoul,1988,1,37.5665,126.978
Los Angeles,"1932, 1984",2,34.0522,-118.2437
Moscow,1980,1,55.7558,37.6173
Montreal,1976,1,45.5019,73.5674
Munich,1972,1,48.1351,11.582
Mexico City,1968,1,19.4326,-99.1332
Rome,1960,1,41.9028,12.4964
Melbourne,1956,1,-37.8136,144.9631
Helsinki,1952,1,60.1699,24.9384
Berlin,1936,1,52.52,13.405
Amsterdam,1928,1,52.3676,4.9041
Paris,"1900, 1924",2,48.8566,2.3522
Antwerp,1920,1,51.2213,4.4051
Stockholm,1912,1,59.3293,18.0686
St. Louis,1904,1,38.627,-90.1994